Type                                  Module                      Label             Process   
vector<reco::GenMET>                  "genMetCalo"                ""                "HLT"     
vector<reco::GenMET>                  "genMetCaloAndNonPrompt"    ""                "HLT"     
vector<reco::GenMET>                  "genMetTrue"                ""                "HLT"     
vector<reco::GenParticle>             "genParticles"              ""                "HLT"     
vector<reco::GsfElectron>             "gsfElectrons"              ""                "HLT"     
vector<reco::GsfElectron>             "uncleanedOnlyGsfElectrons"   ""                "HLT"     
vector<reco::GsfElectronCore>         "gsfElectronCores"          ""                "HLT"     
vector<reco::GsfElectronCore>         "uncleanedOnlyGsfElectronCores"   ""                "HLT"     
vector<reco::GsfTrack>                "electronGsfTracks"         ""                "HLT"     
vector<reco::HFEMClusterShape>        "hfEMClusters"              ""                "HLT"     
vector<reco::JPTJet>                  "JetPlusTrackZSPCorJetAntiKt5"   ""                "HLT"     
vector<reco::JPTJet>                  "TCTauJetPlusTrackZSPCorJetAntiKt5"   ""                "HLT"     
vector<reco::MET>                     "htMetAK5"                  ""                "HLT"     
vector<reco::MET>                     "htMetAK7"                  ""                "HLT"     
vector<reco::MET>                     "htMetIC5"                  ""                "HLT"     
vector<reco::MET>                     "htMetKT4"                  ""                "HLT"     
vector<reco::MET>                     "htMetKT6"                  ""                "HLT"     
vector<reco::MET>                     "tcMet"                     ""                "HLT"     
vector<reco::MET>                     "tcMetWithPFclusters"       ""                "HLT"     
vector<reco::Muon>                    "muons"                     ""                "HLT"     
vector<reco::Muon>                    "muonsFromCosmics"          ""                "HLT"     
vector<reco::Muon>                    "muonsFromCosmics1Leg"      ""                "HLT"     
vector<reco::PFCandidate>             "particleFlow"              ""                "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "AddedMuonsAndHadrons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedCosmicsMuons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedFakeMuons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedHF"       "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedPunchThroughMuons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedPunchThroughNeutralHadrons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedTrackerAndGlobalMuons"   "HLT"     
vector<reco::PFCandidate>             "particleFlowTmp"           "electrons"       "HLT"     
vector<reco::PFJet>                   "ak5PFJets"                 ""                "HLT"     
vector<reco::PFJet>                   "ak7PFJets"                 ""                "HLT"     
vector<reco::PFJet>                   "kt4PFJets"                 ""                "HLT"     
vector<reco::PFJet>                   "kt6PFJets"                 ""                "HLT"     
vector<reco::PFMET>                   "pfMet"                     ""                "HLT"     
vector<reco::PFRecHit>                "particleFlowClusterECAL"   "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowClusterHCAL"   "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowClusterHFEM"   "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowClusterHFHAD"   "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowClusterHO"     "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowClusterPS"     "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowRecHitECAL"    "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowRecHitHCAL"    "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowRecHitHO"      "Cleaned"         "HLT"     
vector<reco::PFRecHit>                "particleFlowRecHitPS"      "Cleaned"         "HLT"     
vector<reco::PFTau>                   "hpsPFTauProducer"          ""                "HLT"     
vector<reco::PFTau>                   "hpsTancTaus"               ""                "HLT"     
vector<reco::PFTau>                   "shrinkingConePFTauProducer"   ""                "HLT"     
vector<reco::Photon>                  "photons"                   ""                "HLT"     
vector<reco::Photon>                  "pfPhotonTranslator"        "pfphot"          "HLT"     
vector<reco::PhotonCore>              "photonCore"                ""                "HLT"     
vector<reco::PhotonCore>              "pfPhotonTranslator"        "pfphot"          "HLT"     
vector<reco::PreshowerCluster>        "pfElectronTranslator"      "pf"              "HLT"     
vector<reco::PreshowerCluster>        "pfPhotonTranslator"        "pfphot"          "HLT"     
vector<reco::PreshowerCluster>        "multi5x5SuperClustersWithPreshower"   "preshowerXClusters"   "HLT"     
vector<reco::PreshowerCluster>        "multi5x5SuperClustersWithPreshower"   "preshowerYClusters"   "HLT"     
vector<reco::PreshowerClusterShape>    "multi5x5PreshowerClusterShape"   "multi5x5PreshowerXClustersShape"   "HLT"     
vector<reco::PreshowerClusterShape>    "multi5x5PreshowerClusterShape"   "multi5x5PreshowerYClustersShape"   "HLT"     
vector<reco::RecoChargedRefCandidate>    "trackRefsForJets"          ""                "HLT"     
vector<reco::RecoEcalCandidate>       "hfRecoEcalCandidate"       ""                "HLT"     
vector<reco::RecoTauPiZero>           "hpsPFTauProducer"          "pizeros"         "HLT"     
vector<reco::RecoTauPiZero>           "hpsTancTaus"               "pizeros"         "HLT"     
vector<reco::RecoTauPiZero>           "shrinkingConePFTauProducer"   "pizeros"         "HLT"     
vector<reco::SuperCluster>            "correctedHybridSuperClusters"   ""                "HLT"     
vector<reco::SuperCluster>            "correctedMulti5x5SuperClustersWithPreshower"   ""                "HLT"     
vector<reco::SuperCluster>            "hfEMClusters"              ""                "HLT"     
vector<reco::SuperCluster>            "pfElectronTranslator"      "pf"              "HLT"     
vector<reco::SuperCluster>            "pfPhotonTranslator"        "pfphot"          "HLT"     
vector<reco::SuperCluster>            "hybridSuperClusters"       "uncleanOnlyHybridSuperClusters"   "HLT"     
vector<reco::Track>                   "ckfInOutTracksFromConversions"   ""                "HLT"     
vector<reco::Track>                   "ckfOutInTracksFromConversions"   ""                "HLT"     
vector<reco::Track>                   "conversionStepTracks"      ""                "HLT"     
vector<reco::Track>                   "cosmicMuons"               ""                "HLT"     
vector<reco::Track>                   "cosmicMuons1Leg"           ""                "HLT"     
vector<reco::Track>                   "generalTracks"             ""                "HLT"     
vector<reco::Track>                   "globalCosmicMuons"         ""                "HLT"     
vector<reco::Track>                   "globalCosmicMuons1Leg"     ""                "HLT"     
vector<reco::Track>                   "globalMuons"               ""                "HLT"     
vector<reco::Track>                   "refittedStandAloneMuons"   ""                "HLT"     
vector<reco::Track>                   "regionalCosmicTracks"      ""                "HLT"     
vector<reco::Track>                   "standAloneMuons"           ""                "HLT"     
vector<reco::Track>                   "uncleanedOnlyCkfInOutTracksFromConversions"   ""                "HLT"     
vector<reco::Track>                   "uncleanedOnlyCkfOutInTracksFromConversions"   ""                "HLT"     
vector<reco::Track>                   "refittedStandAloneMuons"   "UpdatedAtVtx"    "HLT"     
vector<reco::Track>                   "standAloneMuons"           "UpdatedAtVtx"    "HLT"     
vector<reco::Track>                   "tevMuons"                  "default"         "HLT"     
vector<reco::Track>                   "tevMuons"                  "dyt"             "HLT"     
vector<reco::Track>                   "tevMuons"                  "firstHit"        "HLT"     
vector<reco::Track>                   "tevMuons"                  "picky"           "HLT"     
vector<reco::TrackExtra>              "globalMuons"               ""                "HLT"     
vector<reco::TrackExtra>              "refittedStandAloneMuons"   ""                "HLT"     
vector<reco::TrackExtra>              "standAloneMuons"           ""                "HLT"     
vector<reco::TrackExtra>              "tevMuons"                  "default"         "HLT"     
vector<reco::TrackExtra>              "tevMuons"                  "dyt"             "HLT"     
vector<reco::TrackExtra>              "tevMuons"                  "firstHit"        "HLT"     
vector<reco::TrackExtra>              "tevMuons"                  "picky"           "HLT"     
vector<reco::TrackExtrapolation>      "trackExtrapolator"         ""                "HLT"     
vector<reco::TrackJet>                "ak5TrackJets"              ""                "HLT"     
vector<reco::Vertex>                  "offlinePrimaryVertices"    ""                "HLT"     
vector<reco::Vertex>                  "offlinePrimaryVerticesWithBS"   ""                "HLT"     
vector<reco::VertexCompositeCandidate>    "generalV0Candidates"       "Kshort"          "HLT"     
vector<reco::VertexCompositeCandidate>    "generalV0Candidates"       "Lambda"          "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     

